cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.1
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.25,16.167,5.558,12.791,-0.2668,0.1
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.718,3.853,12.928,-0.3546,0.1
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.719,2.147,13.386,-0.5218,0.1
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.102,0.441,14.089,-0.7684,0.1
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.0
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.25,16.167,5.558,12.791,-0.2668,0.0
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.718,3.853,12.928,-0.3546,0.0
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.719,2.147,13.386,-0.5218,0.0
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.102,0.441,14.089,-0.7684,0.0
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.0
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.25,16.167,5.558,12.791,-0.2668,0.0
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.718,3.853,12.928,-0.3546,0.0
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.719,2.147,13.386,-0.5218,0.0
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.102,0.441,14.089,-0.7684,0.0
covonly,Lena,0,0,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.0,16.158,7.361,13.054,-0.2654,0.0
covonly,Lena,0,0,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.25,16.193,5.633,12.828,-0.2709,0.0
covonly,Lena,0,0,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.73,3.905,12.95,-0.3566,0.0
covonly,Lena,0,0,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.723,2.178,13.397,-0.5224,0.0
covonly,Lena,0,0,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.102,0.45,14.091,-0.7685,0.0
covonly,Lena,0,1,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.0,16.158,7.361,13.054,-0.2654,0.0
covonly,Lena,0,1,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.25,16.193,5.633,12.828,-0.2709,0.0
covonly,Lena,0,1,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.73,3.905,12.95,-0.3566,0.0
covonly,Lena,0,1,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.723,2.178,13.397,-0.5224,0.0
covonly,Lena,0,1,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.102,0.45,14.091,-0.7685,0.0
covonly,Lena,0,2,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.0,16.158,7.361,13.054,-0.2654,0.0
covonly,Lena,0,2,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.25,16.193,5.633,12.828,-0.2709,0.0
covonly,Lena,0,2,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.73,3.905,12.95,-0.3566,0.0
covonly,Lena,0,2,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.723,2.178,13.397,-0.5224,0.0
covonly,Lena,0,2,alaska,x25,stefan_med,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.102,0.45,14.091,-0.7685,0.0
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,0.0
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.25,15.324,-0.247,10.794,-0.1381,0.0
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.372,-0.619,11.591,-0.2991,0.0
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.66,-0.99,12.562,-0.5115,0.0
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.139,-1.361,13.664,-0.7754,0.0
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,0.0
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.25,15.324,-0.247,10.794,-0.1381,0.0
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.372,-0.619,11.591,-0.2991,0.0
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.66,-0.99,12.562,-0.5115,0.0
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.139,-1.361,13.664,-0.7754,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.25,15.324,-0.247,10.794,-0.1381,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.372,-0.619,11.591,-0.2991,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.66,-0.99,12.562,-0.5115,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.139,-1.361,13.664,-0.7754,0.0
covonly,Lena,0,0,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,1,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,2,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,21.942,16.484,19.507,-1.3335,2.4
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,22.476,16.768,19.778,-1.4484,1.6
covonly,Lena,0,2,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,21.204,15.206,18.467,-1.1792,1.6
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.974,14.056,17.462,-0.9336,0.4
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.479,13.255,16.93,-0.8391,0.4
